Stock,Year,Recruits,Spawners
Stock10,1974,0.632171,0.119637
Stock10,1975,0.099592,0.061538
Stock10,1976,0.563748,0.077305
Stock10,1977,0.385146,0.023845
Stock10,1978,0.610757,0.094782
Stock10,1979,0.39476,0.060988
Stock10,1980,0.151776,0.078613
Stock10,1981,0.261609,0.049023
Stock10,1982,1.752826,0.119738
Stock10,1983,0.77508,0.044029
Stock10,1984,0.43436,0.040245
Stock10,1985,0.216306,0.011905
Stock10,1986,1.184529,0.33563
Stock10,1987,0.977898,0.164849
Stock10,1988,0.865447,0.166591
Stock10,1989,1.109139,0.029334
Stock10,1990,0.225375,0.166773
Stock10,1991,0.117016,0.293626
Stock10,1992,0.094224,0.185908
Stock10,1993,0.56037,0.244954
Stock10,1994,0.062585,0.039234
Stock10,1995,0.170018,0.039871
Stock10,1996,0.075613,0.056112
Stock10,1997,0.028365,0.050202
Stock10,1998,0.616344,0.295669
Stock10,1999,0.083338,0.048916
Stock10,2000,0.101313,0.013842
Stock10,2001,0.191618,0.04445
Stock10,2002,0.632516,0.21890224
Stock10,2003,0.013074,0.309878
Stock10,2004,0.076353,0.037617
Stock10,2005,0.084303,0.053546
Stock10,2006,0.435995,0.266459
Stock10,2007,0.242857,0.09348
Stock10,2008,0.069067,0.0195
Stock10,2009,0.132713,0.053977
Stock10,2010,0.03198,0.128285
Stock10,2011,NA,0.227742
Stock10,2012,NA,0.055321
Stock10,2013,NA,0.080085
Stock10,2014,NA,0.035548
Stock10,2015,NA,0.0449731
Stock11,1948,0.039076,0.012746
Stock11,1949,0.037489,0.009055
Stock11,1950,0.101664,0.029928
Stock11,1951,0.17057,0.012677
Stock11,1952,0.044265,0.017833
Stock11,1953,0.063172,0.011543
Stock11,1954,0.063564,0.022036
Stock11,1955,0.275674,0.025922
Stock11,1956,0.036232,0.013718
Stock11,1957,0.027988,0.020375
Stock11,1958,0.047366,0.013324
Stock11,1959,0.05208,0.047779
Stock11,1960,0.02302,0.01764
Stock11,1961,0.005954,0.013396
Stock11,1962,0.035483,0.026997
Stock11,1963,0.134623,0.020303
Stock11,1964,0.069246,0.011067
Stock11,1965,0.019606,0.002455
Stock11,1966,0.040514,0.016919
Stock11,1967,0.102785,0.033198
Stock11,1968,0.042418,0.025314
Stock11,1969,0.005031,0.005942
Stock11,1970,0.044947,0.013941
Stock11,1971,0.048028,0.009128
Stock11,1972,0.030023,0.010366
Stock11,1973,0.000669,0.000641
Stock11,1974,0.029657,0.008984
Stock11,1975,0.122507,0.011349
Stock11,1976,0.006109,0.004435
Stock11,1977,0.001457,0.000082
Stock11,1978,0.069111,0.005076
Stock11,1979,0.108244,0.032031
Stock11,1980,0.004639,0.001657
Stock11,1981,0.000965,0.000256
Stock11,1982,0.017948,0.016725
Stock11,1983,0.095903,0.019944
Stock11,1984,0.009106,0.000994
Stock11,1985,0.002102,0.000424
Stock11,1986,0.010278,0.003256
Stock11,1987,0.065836,0.032184
Stock11,1988,0.007726,0.000861
Stock11,1989,0.010741,0.000418
Stock11,1990,0.024567,0.00186
Stock11,1991,0.017355,0.020157
Stock11,1992,0.001813,0.001203
Stock11,1993,0.000934,0.001063
Stock11,1994,0.002441,0.004399
Stock11,1995,0.014536,0.010316
Stock11,1996,0.001503,0.002022
Stock11,1997,0.000717,0.000088
Stock11,1998,0.006025,0.001959
Stock11,1999,0.002843,0.012392
Stock11,2000,0.00008,0.001227
Stock11,2001,0.000212,0.000515
Stock11,2002,0.00511,0.004873
Stock11,2003,0.000716,0.001939
Stock11,2004,0.001207,0.000052
Stock11,2005,0.000906,0.000112
Stock11,2006,0.020472,0.003509
Stock11,2007,0.012413,0.000538
Stock11,2008,0.001936,0.00034
Stock11,2009,0.002639,0.000705
Stock11,2010,0.016106,0.009669
Stock11,2011,NA,0.006948
Stock11,2012,NA,0.000835
Stock11,2013,NA,0.002106
Stock11,2014,NA,0.004378
Stock11,2015,NA,0.001113
Stock12,1965,0.003308,0.000981
Stock12,1966,0.031007,0.031343
Stock12,1967,0.004119,0.004025
Stock12,1968,0.001046,0.000086
Stock12,1969,0.030743,0.000963
Stock12,1970,0.056751,0.003873
Stock12,1971,0.015812,0.000281
Stock12,1972,0.013156,0.00019
Stock12,1973,0.080696,0.003963
Stock12,1974,0.040966,0.008475
Stock12,1975,0.014926,0.003175
Stock12,1976,0.007097,0.001042
Stock12,1977,0.039221,0.00761
Stock12,1978,0.10433,0.009978
Stock12,1979,0.052156,0.003575
Stock12,1980,0.011476,0.0018
Stock12,1981,0.016505,0.005855
Stock12,1982,0.209321,0.023867
Stock12,1983,0.036858,0.007747
Stock12,1984,0.049576,0.00171
Stock12,1985,0.023997,0.001765
Stock12,1986,0.071339,0.014291
Stock12,1987,0.061873,0.00682
Stock12,1988,0.020694,0.00105
Stock12,1989,0.195614,0.0079
Stock12,1990,0.05097,0.018336
Stock12,1991,0.015829,0.012053
Stock12,1992,0.016087,0.002706
Stock12,1993,0.173802,0.01976
Stock12,1994,0.127647,0.00927
